rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1608810899107161536,,102832,,1608810899,86292468,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899128491626,,102833,,1608810899,106179970,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899160079944,,102834,,1608810899,125092826,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899187186550,,102835,,1608810899,145096691,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899187236802,,102836,,1608810899,165167923,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899211840830,,102837,,1608810899,186402490,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899237696410,,102838,,1608810899,206103637,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899260831998,,102839,,1608810899,226063465,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899285522634,,102840,,1608810899,245910138,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899285535398,,102841,,1608810899,265186372,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899302729850,,102842,,1608810899,285454458,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899331871523,,102843,,1608810899,306146583,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899357684250,,102844,,1608810899,326029710,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899385854765,,102845,,1608810899,346039991,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899415718216,,102846,,1608810899,365855459,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899415868387,,102847,,1608810899,384935131,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899434926326,,102848,,1608810899,405283417,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899466698299,,102849,,1608810899,425732317,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899466756703,,102850,,1608810899,446010611,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899489698566,,102851,,1608810899,466030807,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899515946122,,102852,,1608810899,485942807,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899537129808,,102853,,1608810899,505102970,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899564725123,,102854,,1608810899,526348619,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899599437439,,102855,,1608810899,546584042,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899599462653,,102856,,1608810899,565890898,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899626893970,,102857,,1608810899,586443037,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899628478127,,102858,,1608810899,605972119,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899651041637,,102859,,1608810899,624931054,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899674648293,,102860,,1608810899,644941043,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899692464814,,102861,,1608810899,665075852,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899711399760,,102862,,1608810899,686425323,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899728192895,,102863,,1608810899,705852041,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899752851323,,102864,,1608810899,725801953,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899784802760,,102865,,1608810899,744981072,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899823558849,,102866,,1608810899,765444555,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899823565539,,102867,,1608810899,784950014,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899850672896,,102868,,1608810899,806097673,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899850718713,,102869,,1608810899,825811944,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899874253642,,102870,,1608810899,845823683,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899899674864,,102871,,1608810899,865033424,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899920803142,,102872,,1608810899,885321925,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899977188140,,102873,,1608810899,905719498,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899977202154,,102874,,1608810899,925523592,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899998501319,,102875,,1608810899,947304975,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810899998514998,,102876,,1608810899,965715635,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900022745277,,102877,,1608810899,985599637,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900022770736,,102878,,1608810900,5408398,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900052277686,,102879,,1608810900,24618155,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900068470730,,102880,,1608810900,44899380,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900086716058,,102881,,1608810900,64915216,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900103531807,,102882,,1608810900,84849978,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900124151813,,102883,,1608810900,103891460,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900158178878,,102884,,1608810900,123878133,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900190486180,,102885,,1608810900,143903010,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900190496685,,102886,,1608810900,164772173,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900226855688,,102887,,1608810900,184823006,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900226889104,,102888,,1608810900,204814054,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900248335271,,102889,,1608810900,223920279,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900281210375,,102890,,1608810900,243800213,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900281269947,,102891,,1608810900,263852212,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900304036804,,102892,,1608810900,284761913,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900321172303,,102893,,1608810900,304804288,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900339246847,,102894,,1608810900,324788045,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900363437779,,102895,,1608810900,343859273,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900407148861,,102896,,1608810900,363988848,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900433809374,,102897,,1608810900,383822995,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900433867528,,102898,,1608810900,404681368,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900452214926,,102899,,1608810900,424719369,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900477743797,,102900,,1608810900,444737830,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900504564217,,102901,,1608810900,463921922,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900504654075,,102902,,1608810900,483791940,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900572241532,,102903,,1608810900,503794653,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900591358008,,102904,,1608810900,524768805,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900591414497,,102905,,1608810900,544682569,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900591486646,,102906,,1608810900,564687032,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810900618800079,,102907,,1608810900,583832336,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
