rosbagTimestamp,data
1608810899491993796,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899492006631,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899492020239,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899492029599,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899516806243,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899516826773,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899533269291,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899533323938,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899567501545,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899567705047,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899591617250,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899591623077,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899591630505,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899591689397,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899614888066,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899614932371,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899654594084,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899654665337,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899675231592,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899675264589,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899675272228,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899675288219,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899698599987,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899698609719,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899717869178,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899717883647,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899736964207,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899736975858,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899759183356,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899759253231,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899776734986,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899776755931,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899796284675,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899796306230,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899820488144,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899820495867,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899851306028,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899851343381,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899877425937,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899877445541,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899877472415,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899877479145,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899896861949,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899896874059,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899915011031,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899915015383,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899937344266,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899937350967,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899954475200,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899954511789,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899979812001,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899979870796,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810899996068283,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810899996113407,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900022466111,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900022479346,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900058162433,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900058176700,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900058188389,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900058227830,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900080379779,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900080395433,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900103123401,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900103128448,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900120664673,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900120710208,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900135714724,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900135730005,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900159410636,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900159433286,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900246250127,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900246275873,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900246294139,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900246309000,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900246323046,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900246346652,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900246353489,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900246470544,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810900456238345,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810900456244677,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
